,反应物,生成物
205,1-x Al(NO3)3\u00b79H2O + x Ga(NO3)3\u00b78H2O + 1 Y(NO3)3\u00b76H2O + 6 [OH-] ,1 YAl1-xMxO3 + 18-x H2O + 6 [NO3-]; M = Ga
206,1-x H3BO3 + x Mn(NO3)2\u00b74H2O + 0.25*x O2 + 1 Y(NO3)3\u00b76H2O + 3+2*x [OH-] ,1 YB1-xMxO3 + 9+3.5*x H2O + 3+2*x [NO3-]; M = Mn
207,x Al(NO3)3\u00b79H2O + 1-x H3BO3 + 1 Y(NO3)3\u00b76H2O + 3+3*x [OH-] ,1 YB1-xMxO3 + 9+9*x H2O + 3+3*x [NO3-]; M = Al
208,x Fe(NO3)3\u00b79H2O + 1-x H3BO3 + 1 Y(NO3)3\u00b76H2O + 3+3*x [OH-] ,1 YB1-xMxO3 + 9+9*x H2O + 3+3*x [NO3-]; M = Fe
209,x Ga(NO3)3\u00b78H2O + 1-x H3BO3 + 1 Y(NO3)3\u00b76H2O + 3+3*x [OH-] ,1 YB1-xMxO3 + 9+8*x H2O + 3+3*x [NO3-]; M = Ga
210,1 Mn(NO3)2\u00b74H2O + 0.25 O2 + 1 Y(NO3)3\u00b76H2O + 5 [OH-] ,1 YMnO3 + 12.5 H2O + 5 [NO3-]
211,1 Na2CO3 + 1 SiO2 ,1 Na2SiO3 + 1 CO2
212,1 FeC2O4\u00b72H2O + 0.5 Li2CO3 + 1 NH4H2PO4 + 0.5 O2 ,1 LiFePO4 + 2.5 CO2 + 3.5 H2O + 1 NH3 ; target LiFePO4 with additives V via NH4VO3 ; target LiFePO4 with additives V via NH4VO3
213,0.267 Co3O4 + 0.1 Fe2O3 + 0.317 O2 + 1 SrCO3 ,1 SrCo0.8Fe0.2O3 + 1 CO2
214,0.5 Na2CO3 + 0.5 Ta2O5 ,1 NaTaO3 + 0.5 CO2
215,0.5 MnCl2 + 1.5 MnO + 1.5 Sb2O3 ,1 Mn2Sb3O6Cl
216,1 La(NO3)3\u00b76H2O + 0.5 Mn2O3 + 3 [OH-] ,1 LaMnO3 + 7.5 H2O + 3 [NO3-]
217,0.5 Fe2O3 + 1 La(NO3)3\u00b76H2O + 3 [OH-] ,1 LaFeO3 + 7.5 H2O + 3 [NO3-]
218,0.333 Co3O4 + 1 La(NO3)3\u00b76H2O + 0.083 O2 + 3 [OH-] ,1 LaCoO3 + 7.5 H2O + 3 [NO3-]
219,1 Cr(NO3)3\u00b79H2O + 1 La(NO3)3\u00b76H2O + 6 [OH-] ,1 LaCrO3 + 18 H2O + 6 [NO3-]
220,1 La(NO3)3\u00b76H2O + 1 Ni(NO3)3\u00b76H2O + 6 [OH-] ,1 LaNiO3 + 15 H2O + 6 [NO3-]
221,4.665 La2O3 + 0.002 O2 + 6 SiO2 ,1 La9.33(SiO4)6O2
222,1 SrCO3 + 1 TiO2 ,1 SrTiO3 + 1 CO2
223,1 Bi2O3 + x CaCO3 + 1 Nb2O5 + 1-x SrCO3 ,1 Sr1-xCaxBi2Nb2O9 + 1 CO2
224,2 Li2CO3 + 5 TiO2 ,1 Li4Ti5O12 + 2 CO2
225,1.5 Li2CO3 + 0.5 V2O5 ,1 Li3VO4 + 1.5 CO2
226,2 MoO3 + 0.75 O2 + 1 Th(NO3)\u00b7H2O + 1 [OH-] ,1 ThMo2O8 + 1.5 H2O + 1 [NO3-]
227,1 Co(NO3)3 + 0.125 O2 + 0.25 Sm2O3 + 0.5 Sr(NO3)2 + 4 [OH-] ,1 Sm0.5Sr0.5CoO3 + 2 H2O + 4 [NO3-]
228,0.99 Fe2O3 + 1 MgO + 0.015 O2 ,1 MgFe1.98O4
229,x CuO + 0.99 Fe2O3 + 1-x MgO + 0.015 O2 ,1 Mg1-xCuxFe1.98O4
230,1 Fe2O3 + 1 NiO ,1 NiFe2O4
231,0.05 C4H6O4Pd + 0.85 Fe(NO3)3\u00b7H2O + 0.6 La(NO3)3\u00b7H2O + 0.1 Mn(NO3)2\u00b7H2O + 0.138 O2 + 0.4 Sr(NO3)2 + 5.45 [OH-] ,1 La0.6Sr0.4Fe0.85Pd0.05Mn0.1O3 + 4.275 H2O + 0.1 [CH3COO-] + 5.35 [NO3-]
232,0.5 Li2CO3 + 1 MoO3 + 0.5 V2O5 ,1 LiVMoO6 + 0.5 CO2
233,0.5 O2 + 0.5 Sb2O3 + 2 SrO + 0.5 Y2O3 ,1 Sr2YSbO6
234,1-x CuO + 0.5*x O2 + x Zn ,1 Cu1-xZnxO
235,0.5 Li2CO3 + 0.667 Mn3O4 + 0.417 O2 ,1 LiMn2O4 + 0.5 CO2
236,0.32 Co(CH3COO)2 + 1.15 Li(CH3COO)\u00b72H2O + 1.53 Mn(CH3COO)2\u00b74H2O + 0.788 O2 + 4.85 [OH-] ,1 Li1.15Co0.32Mn1.53O4 + 10.845 H2O + 4.85 [CH3COO-]
237,2 CH3COOLi\u00b72H2O + 1 FeC2O4\u00b72H2O + 2.5 O2 + 1 Si(OC2H5)4 + 7 [OH-] ,1 Li2FeSiO4 + 12 H2O + 7 [CH3COO-]
238,0.025 Tb4O7 + 0.95 Y2O3 + 2 ZrO2 ,1 (Y0.95Tb0.05)2Zr2O7 + 0.012 O2
239,1.5 Li2CO3 + 3 NH4H2PO4 + 1 V2O5 ,1 Li3V2(PO4)3 + 1.5 CO2 + 4.5 H2O + 3 NH3 + 1 O2
240,0.167 (NH4)10W12O41(H2O) + 1 Eu(NO4)3\u00b7xH2O + 3.5-x H2O + 0.5 K2CO3 ,1 MEu(WO4)2 + 0.5 CO2 + 4.667 NH3 + 7.417 O2; M = K
241,0.167 (NH4)10W12O41(H2O) + 1 Eu(NO4)3\u00b7xH2O + 3.5-x H2O + 0.5 Na2CO3 ,1 MEu(WO4)2 + 0.5 CO2 + 4.667 NH3 + 7.417 O2; M = Na
242,0.167 (NH4)10W12O41(H2O) + 1 Eu(NO4)3\u00b7xH2O + 3.5-x H2O + 0.5 Li2CO3 ,1 MEu(WO4)2 + 0.5 CO2 + 4.667 NH3 + 7.417 O2; M = Li
243,0.75-x BaCO3 + x CaO + 0.125 Co2O3 + 5.8 Fe2O3 + 0.125 La2O3 + 0.15 TiO2 ,1 Ba0.75-xCaxLa0.25Fe11.6Co0.25Ti0.15O19 + 0.75-x CO2 + 0.1 O2
244,1 LiOH + 2 MnO2 ,1 LiMn2O4 + 0.5 H2O + 0.25 O2
245,0.667 Co3O4 + 12 Fe2O3 + 3 SrCO3 ,1 Sr3Co2Fe24O41 + 3 CO2 + 0.333 O2
246,2 C4H8CoO4\u00b74H2O + 3 Ca(NO3)2\u00b74H2O + -1.333 HOC(COOH)(CH2COOH)2 + 3.5 O2 + 6 [OH-] ,1 Ca3Co2O6 + 25.667 H2O + 6 [NO3-]
247,1 Ga2O3 + 2 GeO2 + 3 ZnO ,"1 Zn3Ga2Ge2O10 ; target Zn3Ga2Ge2O10 with additives 0.5Cr3+ via Cr(NO3)3, Cr2O3 ; target Zn3Ga2Ge2O10 with additives 0.5Cr3+ via Cr(NO3)3, Cr2O3"
248,6 Bi2O3 + 1 TiO2 ,1 Bi12TiO20
249,3 CaCO3 + 1 Sc2O3 + 3 SiO2 ,"1 Ca3Sc2Si3O12 + 3 CO2 ; target Ca3Sc2Si3O12 with additives Ce via Ce(CH3COO)3, Ce(NO3)3\u00b76H2O ; target Ca3Sc2Si3O12 with additives Ce via Ce(NO3)3\u00b76H2O"
250,2 Mg + 1 Si ,1 Mg2Si
251,0.6 Li2CO3 + 0.6 MnCO3 + 0.2 NiO + 0.3 O2 ,1 Li1.2Ni0.2Mn0.6O2 + 1.2 CO2
252,0.5 Li2CO3 + 2 Ni0.25Mn0.75(OH)2 + 0.75 O2 ,1 LiNi0.5Mn1.5O4 + 0.5 CO2 + 2 H2O
253,0.5 Ga2O3 + 0.5 Sb2O5 + 1 Y2O3 ,1 Y2GaSbO7
254,0.5 Sb2O5 + 1 Y2O3 + 0.5 Yb2O3 ,1 Y2YbSbO7
255,1 Bi2O3 + 0.5 In2O3 + 0.5 Ta2O5 ,1 Bi2InTaO7
256,0.5 Bi2O3 + 0.5 Fe2O3 ,1 BiFeO3
257,1 FePO4 + 0.5 Li2CO3 ,1 LiFePO4 + 0.5 CO2 + 0.25 O2
258,11 Fe2O3 + 1 K2CO3 ,1 K2Fe22O34 + 1 CO2
259,0.5 Fe2O3 + 0.5 K2CO3 ,1 KFeO2 + 0.5 CO2
260,2 MgO + 1 SiO2 ,1 Mg2SiO4
261,2 Al2O3 + 2 MgO + 5 SiO2 ,1 Mg2Al4Si5O18
262,3 LiOH + 0.5 V2O5 ,1 Li3VO4 + 1.5 H2O
263,0.5 Li2CO3 + 1.5 V2O5 ,1 LiV3O8 + 0.5 CO2
264,1 SrCO3 + 1 TiO2 ,1 SrTiO3 + 1 CO2
265,x Ce(NO3)3\u00b76H2O + 0.2 Co(NO3)2\u00b76H2O + 0.8 Fe(NO3)3\u00b76H2O + 0.3-0.25*x O2 + 1-x Sr(NO3)2 + 4.8+x [OH-] ,1 Sr1-xCexCo0.2Fe0.8O3 + 8.4+6.5*x H2O + 4.8+x [NO3-]
266,0.2 Co(NO3)2\u00b76H2O + 0.8 Fe(NO3)3\u00b76H2O + 0.6 La(NO3)3\u00b76H2O + 0.15 O2 + 0.4 Sr(NO3)2 + 5.4 [OH-] ,1 La0.6Sr0.4Co0.2Fe0.8O3 + 12.3 H2O + 5.4 [NO3-]
267,1 SrFeO2.875 ,1 SrFeO2 + 0.438 O2
268,0.6 Li2CO3 + 1 Ni0.13Co0.13Mn0.54(CO3)0.8 + 0.3 O2 ,1 Li1.2Ni0.13Co0.13Mn0.54O2 + 1.4 CO2
269,0.5 Co2 + 1 LiOH + 0.75 O2 ,1 LiCoO2 + 0.5 H2O
270,0.5 Fe2O3 + 0.5 Na2O2 ,1 NaFeO2 + 0.25 O2
271,1.3 LiOH\u00b7H2O + 0.65 MnO2 + 0.35 Ni(NO3)2\u00b76H2O + 0.7 [OH-] ,1 0.3Li2MnO3-0.7LiNi0.5Mn0.5O2 + 4.4 H2O + 0.7 [NO3-]
272,0.2 Co(NO3)2\u00b76H2O + 0.8 Fe(NO3)3\u00b79H2O + 0.6 La(NO3)3\u00b76H2O + 0.15 O2 + 0.4 Sr(NO3)2 + 5.4 [OH-] ,1 (La0.6Sr0.4)(Co0.2Fe0.8)O3 + 14.7 H2O + 5.4 [NO3-]
273,1 SrCO3 + 1 TiO2 ,1 SrTiO3 + 1 CO2
274,0.003 O2 + 0.005 Rh2O3 + 1 SrCO3 + 0.99 TiO2 ,1 SrTi0.99Rh0.01O3 + 1 CO2
275,1 SrCO3 + 1 TiO2 ,1 SrTiO3 + 1 CO2
276,1 GeO2 + 2 Zn(NO3)2\u00b76H2O + 4 [OH-] ,1 Zn2GeO4 + 14 H2O + 4 [NO3-]
277,1 Ba(NO3)2 + 12 Fe(NO3)3\u00b79H2O + 38 [OH-] ,1 BaFe12O19 + 127 H2O + 38 [NO3-]
278,1 Al(NO3)3\u00b79H2O + 5 LiOH\u00b7H2O + 3 [OH-] ,1 Li5AlO4 + 18 H2O + 3 [NO3-]
279,1 BaCO3 + 0.667 Co3O4 + 0.5 Y2O3 ,1 YBaCo2O + 1 CO2 + 2.083 O2
280,2 MgO + 1 TiO2 ,1 Mg2TiO4
281,1 Li2TiO3 + 1 MgO ,1 Li2MgTiO4
282,1 Fe(NO3)3\u00b76H2O + 0.5 O2 + 0.5 Sb2O3 + 2 SrCO3 + 3 [OH-] ,1 Sr2FeSbO6 + 2 CO2 + 7.5 H2O + 3 [NO3-]
283,2 LiOH\u00b7H2O + 1 MnCO3 + 0.5 O2 ,1 Li2MnO3 + 1 CO2 + 3 H2O
284,1 Ga2O3 + 1 ZnO ,1 ZnGa2O4
285,2 CaCO3 + 0.5 K2CO3 + 1.5 Nb2O5 ,1 KCa2Nb3O10 + 2.5 CO2
286,1 Fe(NO3)3 + 1 Y(NO3)3 + 6 [OH-] ,1 YFeO3 + 3 H2O + 6 [NO3-]
287,1 MgO + 0.5*x Na2CO3 + 0.25*x O2 + 2 SiO2 + 2-x SrCO3 ,1 Sr2-xNaxMgSi2O7 + 2-0.5*x CO2
288,0.5 Li2CO3 + 1 MoO3 + 0.5 V2O5 ,1 LiMoVO6 + 0.5 CO2
289,0.5 Fe2O3 + 1 Li2SiO3 ,1 Li2FeSiO4 + 0.25 O2
290,2 Na2Ti3O7 + -1 TiO2 ,1 Na4Ti5O12
291,0.5 Na2Ti3O7 + -0.5 TiO2 ,1 NaTiO2 + 0.25 O2
292,2 Fe(NO3)3\u00b79H2O + 1 Zn(NO3)2\u00b76H2O + 8 [OH-] ,1 ZnFe2O4 + 28 H2O + 8 [NO3-]
293,1+x Na2V3P2O13 + -x Na3V3P2O13 ,1 Na2-xV3P2O13
294,2 Ga(NO3)3\u00b7xH2O + 1 Zn(NO3)2\u00b76H2O + 8 [OH-] ,1 ZnGa2O4 + 10+2*x H2O + 8 [NO3-]
295,1 MoO3 + 1 Na3N ,1 Na3MoO3N
296,4 CH3COOLi + 5 TiO2 + 4 [OH-] ,1 Li4Ti5O12 + 2 H2O + 4 [CH3COO-]
297,1 SrCO3 + 1 TiO2 ,1 SrTiO3 + 1 CO2
298,1 Cu2O + 1 Nb2O5 ,1 Cu2O-M2O5; M = Nb
299,1 Cu2O + 4 Nb2O5 ,1 Cu2Nb8O21
300,3 Li2CO3 + 2 ZrO2 ,1 Li6Zr2O7 + 3 CO2
301,1 LiOH + 1 NH4H2PO4 ,1 LiH2PO4 + 1 H2O + 1 NH3
302,1 CH3COOLi\u00b72H2O + 1 FePO4 + 1 [OH-] ,1 LiFePO4 + 2.5 H2O + 0.25 O2 + 1 [CH3COO-]
303,2 LiNO3 + 1 ZrO(NO3)2\u00b72H2O + 4 [OH-] ,1 Li2ZrO3 + 4 H2O + 4 [NO3-]
304,6 LiNO3 + 2 ZrO(NO3)2\u00b72H2O + 10 [OH-] ,1 Li6Zr2O7 + 9 H2O + 10 [NO3-]
305,1 Ge + 2 MgSe + 2 Se ,1 Mg2GeSe4
306,1 Nb2O5 + 1 SnO ,1 SnNb2O6
307,1 Ti2NbO7 + -1 TiO2 ,1 TiNbO5
308,0.5 O2 + 1 Ti2NbO7 + 3 TiO2 ,1 Ti5NbO14
309,0.5*x Li2CO3 + 1.5-0.5*x Mn2O3 ,1 LixMn3-xO4 + 0.5*x CO2 + 0.25-0.5*x O2
310,1 SrCO3 + 1 TiO2 ,1 SrTiO3 + 1 CO2 ; target SrTiO3 with additives Cr via Cr(NO3)3\u00b79H2O ; target SrTiO3 with additives Cr via Cr(NO3)3\u00b79H2O
311,0.5 Li2CO3 + 2 MnCO3 + 0.75 O2 ,1 LiMn2O4 + 2.5 CO2
312,2 Fe(NO3)3\u00b79H2O + 1 NiO + 6 [OH-] ,1 NiO-Fe2O3 + 21 H2O + 6 [NO3-]
313,0.6 BaCO3 + 0.333 Co3O4 + 0.2 La2O3 + 0.233 O2 ,1 Ba0.6La0.4CoO3 + 0.6 CO2
314,x Bi2O3 + 400-4*x H3BO3 + 100-x SrCO3 + 0.5*x V2O5 ,1 (100-x)SrB4O7-xBi2VO5.5 + 100-x CO2 + 600-6*x H2O
315,3 (NH4)2HPO4 + 0.5 Li2CO3 + 2 ZrO2 ,1 LiZr2(PO4)3 + 0.5 CO2 + 4.5 H2O + 6 NH3
316,1 NdBaMn2O5 + 0.5 O2 ,1 NdBaMn2O6
317,1 Li2CO3 + 1 SnO2 ,1 Li2SnO3 + 1 CO2
318,0.25 BaCO3 + 0.371 Bi2O3 + 0.375 Fe2O3 + 0.004 La2O3 + 0.25 TiO2 ,1 0.75(Bi0.99La0.01)FeO3-0.25BaTiO3 + 0.25 CO2
319,0.248 BaCO3 + 0.375 Bi2O3 + 0.375 Fe2O3 + 0.001 La2O3 + 0.25 TiO2 ,1 0.75BiFeO3-0.25(Ba0.99La0.01)TiO3 + 0.248 CO2 + 0.001 O2
320,1 Ba(NO3)2 + 1 O2 + 1 Sb2O3 + 2 [OH-] ,1 BaSb2O6 + 1 H2O + 2 [NO3-]
321,1 SrCO3 + 1 TiO2 ,1 SrTiO3 + 1 CO2
322,1 LiOH + 2 MnO2 ,1 LiMn2O4 + 0.5 H2O + 0.25 O2
323,3 NH4H2PO4 + 3 NH4VO3 + 0.5 Na2CO3 ,1 NaV3(PO4)3 + 0.5 CO2 + 6 H2O + 6 NH3 + 1.75 O2
324,6 Al2O3 + 1 SrCO3 ,1 SrAl12O19 + 1 CO2
325,7 Al2O3 + 4 SrCO3 ,1 Sr4Al14O25 + 4 CO2
326,1 Al2O3 + 1 SrCO3 ,1 SrAl2O4 + 1 CO2
327,2 NH4H2PO4 + 3 NaF + 3 O2 + 1 V2O5 ,1 Na3V2O2(PO4)2F3 + 3 H2O + 2 NH3
328,0.727 H2O + -0.727 Mn(CH3COO)2 + 1.227 Na0.44MnO2 + 0.51 TiO2 + 1.455 [CH3COO-] ,1 Na0.54Mn0.50Ti0.51O2 + 0.374 O2 + 1.455 [OH-]
329,1 Cu(NO3)3 + 2 Fe(NO3)3 + 9 [OH-] ,1 CuFe2O4 + 4.5 H2O + 0.25 O2 + 9 [NO3-]
330,0.38 La2O3 + 1 MnO2 + 0.19 SrCO3 ,1 (La0.8Sr0.2)0.95MnO3 + 0.19 CO2 + 0.165 O2
331,1 BiOCl + 1 Ca(NO3)2 + 2 [OH-] ,1 CaBiO2Cl + 1 H2O + 2 [NO3-]
332,z Al(CH3COO)2OH + 1-y-z Co(CH3COO)2 + 1 LiCH3COO + y Ni(CH3COO)2 + 0.25-0.25*z O2 + 3 [OH-] ,1 LiNiyCo1-y-zAlzO2 + 1.5+0.5*z H2O + 3 [CH3COO-]
333,0.5*y Ga2O3 + 0.5 Li2O2 + 1-y NiO ,1 LiGayNi1-yO2 + 0.25*y O2
334,1 Co(OH)3 + 2 MnO2 ,1 CoMn2O4 + 1.5 H2O + 0.75 O2
335,1 Nb2O5 + 1 SnO ,1 SnNb2O6
336,1 Cu(NO3)2 + 2 Fe(NO3)3 + 8 [OH-] ,1 CuFe2O4 + 4 H2O + 8 [NO3-]
337,0.5 Ag2O + 0.5 Sb2O5 ,1 AgSbO3
338,4 K2CO3 + 4 TiO2 ,1 K8(TiO3)4 + 4 CO2
339,1 K2CO3 + 4 TiO2 ,1 K2Ti4O9 + 1 CO2
340,6 K2CO3 + 6 TiO2 ,1 K12(TiO3)6 + 6 CO2
341,1 K2CO3 + 6 TiO2 ,1 K2Ti6O13 + 1 CO2
342,0.6 Ba(NO3)2 + 0.4 La(NO3)3 + 0.2 Mg(NO3)2 + 0.8 Mn(NO3)2 + 0.4 O2 + 4.4 [OH-] ,1 La0.4Ba0.6Mn0.8Mg0.2O3 + 2.2 H2O + 4.4 [NO3-]
343,1 La2O3 + 2 MoO3 ,1 La2Mo2O9
344,1 BaS + 1 Ga2S3 ,"1 BaGa2S4 ; target BaGa2S4 with additives Eu via Eu2O3, EuS ; target BaGa2S4 with additives Eu via Eu2O3"
345,2 Li2CO3 + 1 SiO2 ,1 Li4SiO4 + 2 CO2
346,0.5 (NH4)10H2(W2O7) + 1.25 O2 + 1 ZnO ,1 ZnWO4 + 3 H2O + 5 NH3
347,1 TiO2 + 2 ZnO ,1 2ZnO-TiO2
348,1 Li2CO3 + 1 TiO2 ,1 Li2TiO3 + 1 CO2
349,1.5 Li2CO3 + 1.5 Nd2O3 + 2 WO3 ,1 Li3Nd3W2O12 + 1.5 CO2
350,0.6 La(NO3)3\u00b79H2O + 1 Mn(NO3)2 + 0.35 O2 + 1.4 Sr(NO3)2 + 6.6 [OH-] ,1 La0.6Sr1.4MnO4 + 8.7 H2O + 6.6 [NO3-]
351,1+x LiOH + 2 MnO2 ,1 Li1+xMn2O4 + 0.5+0.5*x H2O + 0.25+0.25*x O2
352,1 LiOH + 2 MnO2 ,1 LiMn2O4 + 0.5 H2O + 0.25 O2
353,1.06 LiOH + 2 MnO2 ,1 Li1.06Mn2O4 + 0.53 H2O + 0.265 O2
354,1 Ba(NO3)2 + 0.4 Ce(NO3)3\u00b76H2O + 0.15 O2 + 0.2 Y(NO3)3\u00b76H2O + 0.4 ZrO(NO3)2\u00b72H2O + 4.6 [OH-] ,1 BaZr0.4Ce0.4Y0.2O3 + 6.7 H2O + 4.6 [NO3-]
355,4 As + 1 Cs + 1 Eu + 4 Fe ,1 CsEuFe4As4
356,1 As + 1 Eu ,1 EuAs
357,5 Al(NO3)3\u00b7(H2O)9 + 3 Y(NO3)3\u00b7(H2O)6 + 24 [OH-] ,"1 Y3Al5O12 + 75 H2O + 24 [NO3-] ; target Y3Al5O12 with additives Ce via Ce(NO3)3\u00b7(H2O)6, CeO2 ; target Y3Al5O12 with additives Ce via Ce(NO3)3\u00b7(H2O)6, CeO2"
358,1 Fe2O3 + 1 WO3 ,1 Fe2WO6
359,1 CaO + 1 SiO2 + 1 TiO2 ,1 CaTiSiO5 ; target CaTiSiO5 with additives Cr via Cr2O3 ; target CaTiSiO5 with additives Cr via Cr2O3
360,2 CaCO3 + 1 MnCO3 + 0.75 O2 + 0.5 Sb2O3 ,1 Ca2MSbO6 + 3 CO2; M = Mn
361,2 CaCO3 + 1 Fe(NO3)3\u00b79H2O + 0.5 O2 + 0.5 Sb2O3 + 3 [OH-] ,1 Ca2MSbO6 + 2 CO2 + 10.5 H2O + 3 [NO3-]; M = Fe
362,2 CaCO3 + 1 MnCO3 + 0.75 O2 + 0.5 Sb2O3 ,1 Ca2MnSbO6 + 3 CO2
363,2 CaCO3 + 1 Fe(NO3)3\u00b79H2O + 0.5 O2 + 0.5 Sb2O3 + 3 [OH-] ,1 Ca2FeSbO6 + 2 CO2 + 10.5 H2O + 3 [NO3-]
364,1 In(NO3)3 + 1 La(NO3)3 + 6 [OH-] ,1 LaInO3 + 3 H2O + 6 [NO3-]
365,0.5*x Ga2O3 + 1 In(NO3)3 + 1-x La(NO3)3 + 6-3*x [OH-] ,1 La1-xGaxInO3 + 3-1.5*x H2O + 6-3*x [NO3-]
366,0.5 La2O3 + 1 LiNO3 + 1 Ta2O5 + 1 [OH-] ,1 LiLaTa2O7 + 0.5 H2O + 1 [NO3-]
367,0.5 La2O3 + 0.5 Rb2CO3 + 1 Ta2O5 ,1 RbLaTa2O7 + 0.5 CO2
368,1 SiO2 + 1 Y2O3 ,1 Y2SiO5 ; target Y2SiO5 with additives Ce via Ce(NO3)3 ; target Y2SiO5 with additives Ce via Ce(NO3)3
369,0.045 La2O3 + 0.91 PbO + 0.35 TiO2 + 0.65 ZrO2 ,1 (Pb0.91La0.09)(Zr0.65Ti0.35)O3 + 0.022 O2
370,0.25*x Li4Ti5O12 + 1-1.25*x TiO2 ,1 LixTiO2 + 0.25*x O2
371,1 Na + 3 Pd + 2 Sn ,1 NaPd3Sn2
372,2 Ge + 1 Na + 3 Pd ,1 NaPd3Ge2
373,1 Na + 3 Pd + 2 Si ,1 NaPd3Si2
374,0.5 Cr2O3 + 0.5-0.5*x La2O3 + 0.5*x Sm2O3 ,1 La1-xSmxCrO3
375,2 (NH4)2HPO4 + 0.5*x+0.5*y O2 + 2-x-y ZnO ,1 Zn2-x-yP2O7 + 3 H2O + 4 NH3 ; target Zn2-x-yP2O7 with additives xCe3+ via CeO2 ; target Zn2-x-yP2O7 with additives xCe3+ via CeO2
376,2 BaCO3 + 1 Ir + 1.083 O2 + 0.167 Pr6O11 ,1 Ba2PrIrO6 + 2 CO2
377,0.5*x Al2O3 + 0.5-0.5*x Lu2O3 + 0.5 Nb2O5 ,"1 Lu1-xAlxNbO4 ; target Lu1-xAlxNbO4 with additives 0.18Yb, 0.05Er via Er2O3, Yb2O3 ; target Lu1-xAlxNbO4 with additives 0.18Yb, 0.05Er via Er2O3, Yb2O3"
378,0.5*y Ga2O3 + 0.5-0.5*y Lu2O3 + 0.5 Nb2O5 ,"1 Lu1-yGayNbO4 ; target Lu1-yGayNbO4 with additives 0.18Yb, 0.05Er via Er2O3, Yb2O3 ; target Lu1-yGayNbO4 with additives 0.18Yb, 0.05Er via Er2O3, Yb2O3"
379,0.5 Fe2O3 + 0.5 Li2CO3 + 1 SnO2 ,1 LiFeSnO4 + 0.5 CO2
380,0.5 In2O3 + 0.5 Li2CO3 + 1 SnO2 ,1 LiInSnO4 + 0.5 CO2
381,5 Bi + 3 La + 1 Mg ,1 La3MgBi5
382,0.5 Li2CO3 + 3 NH4H2PO4 + 2 O2 + 2 Ti ,1 LiTi2(PO4)3 + 0.5 CO2 + 4.5 H2O + 3 NH3
383,1 In2O3 + 4 NH4H2PO4 + 3 Rb2CO3 ,1 (Rb3In(PO4)2)2 + 3 CO2 + 6 H2O + 4 NH3
384,0.5*x Ga2O3 + 1-x MnO2 + 0.25*x O2 + 1 SrCO3 ,1 SrMn1-xGaxO3 + 1 CO2
385,0.5 La2O3 + 0.5 Na2CO3 + 1 TiO2 ,1 NaLaTiO4 + 0.5 CO2
386,1 Nd2O3 + 2 TiO2 ,1 Nd2Ti2O7
387,1 BiOBr + 1 PbO ,1 PbBiO2Br
388,1 Li2MoO4 + 1 ZnMoO4 ,1 Li2MoO4-ZnMoO4
389,1.5 La2O3 + 3.5 Li2CO3 + 2 ZrO2 ,1 Li7La3Zr2O12 + 3.5 CO2
390,4.5 Cs2CO3 + 2.5 Nb2O5 + 1.333 O2 + 2.667 U3O8 ,1 Cs9((UO2)8O4(NbO5)(Nb2O8)2) + 4.5 CO2
391,4.5 Cs2CO3 + 2.5 Nb2O5 + 1.333 O2 + 2.667 U3O8 ,1 Cs9U8Nb5O41 + 4.5 CO2
392,2 HfO2 + 1.5 La2O3 + 3.5 Li2CO3 ,1 Li7La3Hf2O12 + 3.5 CO2
393,2.7 CaCO3 + 4 Co(NO3)2\u00b76H2O + 0.15 La2O3 + 0.925 O2 + 8 [OH-] ,1 Ca2.7La0.3Co4O9 + 2.7 CO2 + 28 H2O + 8 [NO3-]
394,1 CaCO3 + 1 MoO3 ,1 CaMoO4 + 1 CO2
395,0.667 Co3O4 + 1.5 La2O3 + 0.167 O2 + 0.5 Sb2O3 ,1 La3Co2SbO9
396,1 GeO2 + 2 ZnO ,1 Zn2GeO4
397,x (NH4)H2PO4 + 0.005 Dy2O3 + 1-x NH4VO3 + 0.495 Y2O3 ,1 Y0.99Dy0.01(PxV1-x)O4 + 0.5+x H2O + 1 NH3
398,0.8 (NH4)H2PO4 + 0.005 Dy2O3 + 0.2 NH4VO3 + 0.495 Y2O3 ,1 Y0.99Dy0.01(P0.8V0.2)O4 + 1.3 H2O + 1 NH3
399,1 (NH4)H2PO4 + 0.5*y Bi2O3 + 0.012 Tb4O7 + 0.475-0.5*y Y2O3 ,1 Y0.95-yTb0.05BiyPO4 + 1.5 H2O + 1 NH3 + 0.006 O2
400,1 Ge + 1 P ,1 GeP
401,0.5*x Eu2O3 + 0.5-0.5*x In2O3 + 0.5 Li2CO3 + 2 WO3 ,1 LiIn1-xEuxW2O8 + 0.5 CO2
402,0.5*x Dy2O3 + 0.5-0.5*x In2O3 + 0.5 Li2CO3 + 2 WO3 ,1 LiIn1-xDyxW2O8 + 0.5 CO2
403,0.015 Dy2O3 + 0.002 Eu2O3 + 0.482 In2O3 + 0.5 Li2CO3 + 2 WO3 ,1 LiIn0.965Dy0.03Eu0.005W2O8 + 0.5 CO2
404,0.5 Li2CO3 + 0.5 Sc2O3 + 2 WO3 ,1 LiScW2O8 + 0.5 CO2
405,2 Co(NO3)2 + 3 La(NO3)3 + 1.5 O2 + 1.5 Sb2O3 + 13 [OH-] ,1 La3Sb3Co2O14 + 6.5 H2O + 13 [NO3-]
